'Book', 'Year'
'Horton Hears a Who!,	1954
'The Cat in the Hat', 1957
'How the Grinch Stole Christmas!', 1957
'The Cat in the Hat Comes Back', 1958
'One Fish Two Fish Red Fish Blue Fish', 1960
'Green Eggs and Ham', 1960
'Fox in Socks', 1965
'The Lorax', 1971
'You're Only Old Once!', 1986
'Oh, the Places You'll Go!', 1990
